127.0.0.1 - - [02/Jul/2023:00:28:53 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [02/Jul/2023:00:28:54 +0700] "GET /WATCHSHOP/ HTTP/1.1" 404 765
0:0:0:0:0:0:0:1 - - [02/Jul/2023:00:28:54 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [02/Jul/2023:00:29:00 +0700] "GET /WATCHSHOP/home.htm HTTP/1.1" 200 37891
0:0:0:0:0:0:0:1 - - [02/Jul/2023:00:29:00 +0700] "GET /WATCHSHOP/assets/css/styles.css;jsessionid=6A96AF5DFE2117F513B7FE3481A95172 HTTP/1.1" 200 25305
0:0:0:0:0:0:0:1 - - [02/Jul/2023:00:29:00 +0700] "GET /WATCHSHOP/assets/css/toast.css;jsessionid=6A96AF5DFE2117F513B7FE3481A95172 HTTP/1.1" 200 2904
0:0:0:0:0:0:0:1 - - [02/Jul/2023:00:29:00 +0700] "GET /WATCHSHOP/assets/css/swiper-bundle.min.css HTTP/1.1" 200 15576
0:0:0:0:0:0:0:1 - - [02/Jul/2023:00:29:00 +0700] "GET /WATCHSHOP/assets/js/swiper-bundle.min.js HTTP/1.1" 200 135018
0:0:0:0:0:0:0:1 - - [02/Jul/2023:00:29:00 +0700] "GET /WATCHSHOP/assets/js/main.js;jsessionid=6A96AF5DFE2117F513B7FE3481A95172 HTTP/1.1" 200 6084
0:0:0:0:0:0:0:1 - - [02/Jul/2023:00:29:00 +0700] "GET /WATCHSHOP/assets/js/user_script.js;jsessionid=6A96AF5DFE2117F513B7FE3481A95172 HTTP/1.1" 200 26261
0:0:0:0:0:0:0:1 - - [02/Jul/2023:00:29:00 +0700] "GET /WATCHSHOP/assets/js/toast.js;jsessionid=6A96AF5DFE2117F513B7FE3481A95172 HTTP/1.1" 200 2292
0:0:0:0:0:0:0:1 - - [02/Jul/2023:00:29:00 +0700] "GET /WATCHSHOP/images/23.png;jsessionid=6A96AF5DFE2117F513B7FE3481A95172 HTTP/1.1" 200 159679
0:0:0:0:0:0:0:1 - - [02/Jul/2023:00:29:00 +0700] "GET /WATCHSHOP/images/10.png HTTP/1.1" 200 227243
0:0:0:0:0:0:0:1 - - [02/Jul/2023:00:29:00 +0700] "GET /WATCHSHOP/images/01.png HTTP/1.1" 200 440668
0:0:0:0:0:0:0:1 - - [02/Jul/2023:00:29:00 +0700] "GET /WATCHSHOP/images/02.png HTTP/1.1" 200 219929
0:0:0:0:0:0:0:1 - - [02/Jul/2023:00:29:00 +0700] "GET /WATCHSHOP/images/03.png HTTP/1.1" 200 118971
0:0:0:0:0:0:0:1 - - [02/Jul/2023:00:29:00 +0700] "GET /WATCHSHOP/images/04.png HTTP/1.1" 200 407591
0:0:0:0:0:0:0:1 - - [02/Jul/2023:00:29:00 +0700] "GET /WATCHSHOP/images/05.png HTTP/1.1" 200 443513
0:0:0:0:0:0:0:1 - - [02/Jul/2023:00:29:00 +0700] "GET /WATCHSHOP/assets/img/story.png HTTP/1.1" 200 148190
0:0:0:0:0:0:0:1 - - [02/Jul/2023:00:29:00 +0700] "GET /WATCHSHOP/images/06.png;jsessionid=6A96AF5DFE2117F513B7FE3481A95172 HTTP/1.1" 200 462911
0:0:0:0:0:0:0:1 - - [02/Jul/2023:00:29:00 +0700] "GET /WATCHSHOP/images/07.png;jsessionid=6A96AF5DFE2117F513B7FE3481A95172 HTTP/1.1" 200 475652
0:0:0:0:0:0:0:1 - - [02/Jul/2023:00:29:00 +0700] "GET /WATCHSHOP/images/08.png;jsessionid=6A96AF5DFE2117F513B7FE3481A95172 HTTP/1.1" 200 314703
0:0:0:0:0:0:0:1 - - [02/Jul/2023:00:29:00 +0700] "GET /WATCHSHOP/images/09.png;jsessionid=6A96AF5DFE2117F513B7FE3481A95172 HTTP/1.1" 200 466021
0:0:0:0:0:0:0:1 - - [02/Jul/2023:00:29:00 +0700] "GET /WATCHSHOP/images/10.png;jsessionid=6A96AF5DFE2117F513B7FE3481A95172 HTTP/1.1" 200 227243
0:0:0:0:0:0:0:1 - - [02/Jul/2023:00:29:00 +0700] "GET /WATCHSHOP/images/11.png;jsessionid=6A96AF5DFE2117F513B7FE3481A95172 HTTP/1.1" 200 236946
0:0:0:0:0:0:0:1 - - [02/Jul/2023:00:29:00 +0700] "GET /WATCHSHOP/assets/img/testimonial.png HTTP/1.1" 200 327677
0:0:0:0:0:0:0:1 - - [02/Jul/2023:00:29:00 +0700] "GET /WATCHSHOP/images/13.png;jsessionid=6A96AF5DFE2117F513B7FE3481A95172 HTTP/1.1" 200 203529
0:0:0:0:0:0:0:1 - - [02/Jul/2023:00:29:00 +0700] "GET /WATCHSHOP/images/12.png;jsessionid=6A96AF5DFE2117F513B7FE3481A95172 HTTP/1.1" 200 155097
0:0:0:0:0:0:0:1 - - [02/Jul/2023:00:29:00 +0700] "GET /WATCHSHOP/images/14.png;jsessionid=6A96AF5DFE2117F513B7FE3481A95172 HTTP/1.1" 200 411177
0:0:0:0:0:0:0:1 - - [02/Jul/2023:00:29:00 +0700] "GET /WATCHSHOP/images/15.png;jsessionid=6A96AF5DFE2117F513B7FE3481A95172 HTTP/1.1" 200 233041
0:0:0:0:0:0:0:1 - - [02/Jul/2023:00:29:00 +0700] "GET /WATCHSHOP/images/16.png;jsessionid=6A96AF5DFE2117F513B7FE3481A95172 HTTP/1.1" 200 351445
0:0:0:0:0:0:0:1 - - [02/Jul/2023:00:29:02 +0700] "GET /WATCHSHOP/assets/img/favicon.png HTTP/1.1" 200 481
